handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2
product_66aba139-2497-2da7-9805-691491bb78c4,Product,Droit de la concurrence interne et européen,"<p><strong>Edition</strong> :&nbsp;01/17 - 7e édition</p>
<p><strong>Auteur(s)</strong> :&nbsp;Marie Malaurie-Vignal</p>
<p>&nbsp;</p>
<p><strong>Présentation</strong></p>
<ul> 
 <li> <p><strong>Le droit de la concurrence embrasse toutes les branches du droit :</strong>&nbsp;droit des contrats, droit des sociétés et des associations, droit public, droit du travail ; etc. Il s'applique tant aux entreprises privées qu'à l'État et ses émanations.<br> <br> Cet ouvrage s'intéresse au droit interne et au droit européen. Il traite&nbsp;<strong>des pratiques restrictives de concurrence n'affectant pas le marché</strong>&nbsp;(clauses de non-concurrence, concurrence déloyale, déséquilibre significatif, pratiques tarifaires, etc.) et&nbsp;<strong>des pratiques anticoncurrentielles affectant le marché</strong>&nbsp;(entente, abus de position dominante, abus de dépendance économique) ainsi que&nbsp;<strong>les aides d'Etat et le contrôle des structures avec le contrôle des concentrations</strong>.<br> <br> Cette nouvelle édition donne&nbsp;<strong>une place importante aux développements jurisprudentiels du déséquilibre significatif ou de la rupture brutale, ou encore à la jurisprudence du Conseil d’État&nbsp;</strong>qui, notamment, accepte désormais de contrôler la soft law, par le biais du recours pour excès de pouvoir. La question des sanctions prononcées par les autorités de concurrence est largement présentée, car le contentieux français et européen est toujours aussi vif, surtout quand est en cause une filiale d’un groupe de sociétés, avec le problème de la responsabilité de la société-mère.&nbsp;<br> <br> Cette édition intègre la&nbsp;<strong>loi n° 2015-990 du 6 août 2015 pour la croissance</strong>, l’activité et l’égalité des chances économiques, dite&nbsp;<strong>« loi Macron »&nbsp;</strong>et la&nbsp;<strong>directive n° 2014/104 du 26 novembre 2014 sur la réparation du préjudice concurrentiel</strong>. Par l’étendue des thèmes étudiés, cet ouvrage s’adresse aux étudiants de M1 et M2, ainsi qu’à tous les professionnels de la vie des affaires qui s’intéressent aux questions de concurrence.&nbsp;</p> </li>
</ul>",31ffa3_bdcddacf07444d9eaa19d6777e02b156~mv2.jpg,Juridique,,23616 Fcfa,36.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_0c0d25ef-cb93-2353-44e3-416e5c578956,Product,Droit de la concurrence - Libertés de circulation,"<p><strong>Edition</strong> :&nbsp;11/16 - 5e édition</p>
<p><strong>Auteur(s)</strong> :&nbsp;Cyril Nourissat,&nbsp;Blandine De Clavière-Bonnamour</p>
<p>&nbsp;</p>
<p><strong>Présentation</strong></p>
<ul> 
 <li> <p>Cette cinquième édition s'inscrit dans la ligne de la précédente qui avait été l'occasion d'une refonte en profondeur. Est confirmé le choix d'un intitulé plus « descriptif » permettant au lecteur de mieux saisir les matières couvertes et souvent enseignées de manière séparée.&nbsp;<br> <br> <strong>L'ouvrage combine des développements tirés du droit interne et du droit de l'Union européenne.</strong>&nbsp;En effet, et même si ce dernier droit est caractérisé par sa « supériorité » (principes de primauté et d'effet direct obligent), il n'en demeure pas moins que le droit de l'Union reste lacunaire en ce qu'il laisse encore des pans de la matière à la seule juridiction du droit interne.&nbsp;<br> <br> Une réalité complexe que tente de mettre en lumière ce&nbsp;<strong>manuel consacré aux libertés de circulation et au droit de la concurrence, piliers fondamentaux de l'économie de marché</strong>&nbsp;dans laquelle opère l'entreprise.&nbsp;<strong>À jour des dernières évolutions jurisprudentielles et textuelles (au 31 juillet 2016),</strong>&nbsp;ce manuel contient aussi<strong>&nbsp;de substantiels développements relatifs aux procédures</strong>&nbsp;qui, en une quinzaine d'années, ont été l'objet d'une intervention remarquée de l'Union européenne, témoignant en particulier des liens désormais indéfectibles entre Marché intérieur et Espace de liberté, de sécurité et de justice.</p> </li>
</ul>",31ffa3_89fb01255a394d89aa912422adc3eeae~mv2.jpg,Juridique,,25584 Fcfa,39.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_6a816900-4fef-9ea4-943b-cd4fdf67b514,Product,Droit commercial,"<p><strong>Edition</strong> :&nbsp;07/19 - 12e édition</p>
<p><strong>Auteur(s) </strong>:&nbsp;Stéphane Piedelièvre</p>
<p>&nbsp;</p>
<p><strong>Présentation</strong></p>
<ul> 
 <li> <p>Cet ouvrage, qui s’adresse principalement aux&nbsp;<strong>étudiants de L2 et L3</strong>, propose une&nbsp;<strong>approche claire et détaillée de la notion de commercialité</strong>. Il intéressera également les praticiens souhaitant actualiser leurs connaissances en droit commercial.&nbsp;<br> <br> Complexe dans le système français, cette notion suscite de nombreuses questions appelant des solutions concrètes d’une grande importance comme les régimes de compétence et de preuve. Cet ouvrage aborde la question du droit commercial à travers les actes de commerce, les commerçants, les fonds de commerce, ainsi que la concurrence et la consommation.&nbsp;<br> <br> L’auteur s’est appliqué à présenter&nbsp;<strong>les règles qui constituent les principes de l’activité marchande</strong>, cette édition est à jour des dispositions relatives à la loi PACTE</p> </li>
</ul>",31ffa3_14cb1546f40f4aa2a381bd218fb36d43~mv2.jpg,Juridique,,17712 Fcfa,27.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_937eb5fe-014b-a4fe-8dba-cb5303361a26,Product,Droit de la concurrence- Mémentos,"<p><strong>Edition</strong> :&nbsp;07/19 - 1e édition</p>
<p><strong>Auteur(s) </strong>:&nbsp;Jean-Christophe Roda</p>
<p>&nbsp;</p>
<p><strong>Présentation</strong></p>
<ul> 
 <li> <p>Ce Mémento présente de manière claire et synthétique&nbsp;<strong>l'ensemble des dispositions et règles relatives au droit de la concurrence</strong>, droit complexe mais essentiel à la vie des entreprises et des consommateurs. Ce droit emprunte à de nombreuses techniques connues :&nbsp;<strong>contrat, sociétés, responsabilité civile, sanctions administratives ou pénales</strong>. Mais il intègre aussi dans ses règles des raisonnements et des concepts purement économiques : marché pertinent, seuils économiques, pouvoir de marché, efficience et bien-être du consommateur...<br> <br> Selon une division classique,<strong>&nbsp;la première partie traite de la protection du marché</strong>, tandis que la<strong>&nbsp;seconde envisage la protection des concurrents</strong>.&nbsp;<strong>Des tableaux synthétiques, des focus et des schémas</strong>&nbsp;sont insérés afin de permettre une meilleure compréhension d'une matière devenue très technique.&nbsp;<br> <br> <strong>À jour des ordonnances du 24 avril 2019,</strong>&nbsp;ce Mémento est d'abord un outil&nbsp;<strong>destiné aux étudiants de Master</strong>. Il est également utile aux&nbsp;<strong>candidats aux concours et aux professions juridiques</strong>&nbsp;qui auraient besoin de se (re)plonger dans la matière, afin d'en avoir une vision globale et d'en saisir les principaux enjeux</p> </li>
</ul>",31ffa3_89fb01255a394d89aa912422adc3eeae~mv2.jpg,Juridique,,12136 Fcfa,18.5,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_d4ebff0c-fe6f-28e4-c8f9-8f7757d0d7de,Product,Assurance et protection sociale,"<p><strong>Edition</strong> :&nbsp;11/11 - e édition</p>
<p><strong>Auteur(s) </strong>:&nbsp;Xavier Prétot,&nbsp;Dominique Loriferne,&nbsp;Jean-Louis Gillet</p>
<p>&nbsp;</p>
<p><strong>Présentation</strong></p>
<ul> 
 <li> <p>La valeur universelle du droit à la sécurité sociale, entendu comme un droit de créance alimentaire de l'individu contre l'État, apparaît clairement dans la Charte des droits fondamentaux de l'Union européenne du 18 décembre 2000. Mais, l'élargissement de la protection sociale, justifié par des besoins nouveaux dont la couverture est lourde, ainsi que l'allongement de l'espérance de vie, sans omettre les incertitudes qui pèsent sur le financement des différents régimes de sécurité sociale, ont conduit le marché à intervenir désormais dans ce domaine, à travers l'assurance privée.&nbsp;<br> Devant l'importance de ces questions, les différents opérateurs ont décidé de réfléchir ensemble, à la Cour de cassation, à ce que pourraient être les rapports de l'assurance et de la protection sociale, pour les années à venir.</p> </li>
</ul>",31ffa3_28603e07c7d44922b347842567011e80~mv2.jpg,Juridique,,29914 Fcfa,45.6,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_5182dd75-e0d2-0a97-a828-b1358ab0e1ca,Product,"Code des assurances, code de la mutualité","<p><strong>Edition</strong> :&nbsp;06/19 - 25e édition</p>
<p><strong>Auteur(s) </strong>:&nbsp;Louis Perdrix</p>
<p>&nbsp;</p>
<p><strong>Présentation</strong></p>
<ul> 
 <li> <p><strong><strong><strong><strong>&nbsp;Les + de l’édition 2019 du Code des assurances, code de la mutualité<strong>&nbsp;</strong>&nbsp;</strong></strong></strong></strong><br> •&nbsp;Commentaire des dispositions relatives à l'assurance des véhicules terrestres à moteur.&nbsp;<br> •&nbsp;Richesse des annotations et des textes complémentaires.&nbsp;<br> •&nbsp;Code enrichi, annoté et mis à jour en continu sur smartphone, tablette et Internet,&nbsp;<br> •&nbsp;Accessibilité à votre Code depuis Word© grâce à Dalloz Connect</p> &nbsp; <p>Le code des assurances Dalloz&nbsp;<strong>comprend le code des assurances proprement dit, les textes indispensables à la compréhension de la matière, le code de la mutualité</strong>&nbsp;compte tenu de la proximité de la matière et des acteurs pour ce qui concerne les règles financières et la prévoyance.<br> Il est complété de&nbsp;<strong>commentaires, d'annotations de jurisprudence</strong>&nbsp;constamment actualisées et de bibliographies approfondies.<br> Il aborde également : la responsabilité civile de droit commun, la responsabilité des constructeurs, les accidents de la circulation, la protection des consommateurs, la convention AERAS révisée, l'intervention de l'assureur au procès pénal, les recours des organismes sociaux, l'indemnisation des victimes d'infractions, les marchés publics, les agents généraux, les courtiers, les assurances obligatoires.</p> &nbsp; <p><strong>Cette 25e édition est à jour notamment :</strong>&nbsp;<br> - de l'ordonnance n° 2018-361 du 30 mai 2018 et du décret n° 2018-431 du 1er&nbsp;juin 2018 relatifs à la distribution d'assurances&nbsp;<br> - du décret du 16 juillet 2018 relatif à la prise en charge des dommages en cas de retrait d'agrément d'une entreprise d'assurance&nbsp;<br> - du décret n° 2018-644 du 20 juillet 2018 relatif au dispositif de lutte contre le défaut d'assurance de responsabilité civile automobile</p> </li>
</ul>",31ffa3_f515e29343ca4303882bfca07d6572bd~mv2.jpg,Juridique,,64944 Fcfa,99.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_d842f36a-0913-1624-e3c0-c1ae5a3b6f7d,Product,"Droit des assurances (Yvonne Lambert-Faivre, Laurent Leveneur)","<p><strong>Edition</strong> :&nbsp;12/17 - 14e édition</p>
<p><strong>Auteur(s) </strong>:&nbsp;Yvonne Lambert-Faivre,&nbsp;Laurent Leveneur</p>
<p>&nbsp;</p>
<p><strong>Présentation</strong></p>
<ul> 
 <li> <p>Droit régissant les relations entre assurés et assureurs liés par un contrat d'assurance, le droit des assurances est étudié ici en présentant de manière claire et didactique les plus récentes dispositions européennes, législatives et jurisprudentielles.<br> <br> L'exposé pédagogique s'appuie sur&nbsp;<strong>une importante recherche documentaire référencée en notes ou en annexes</strong>&nbsp;: bibliographie, études de doctrine, comptes rendus de jurisprudence, tableaux statistiques.&nbsp;<br> <br> Ouvrage de référence en la matière depuis sa première édition, ce Précis constitue un indispensable outil de travail pour tous les juristes d'assurance, assureurs et assurés, magistrats et avocats, chercheurs et étudiants.<br> <br> <strong>À jour notamment du décret du 20 août 2015 relatif aux comptes bancaires inactifs et contrats d'assurance vie en déshérence et de l'ordonnance du 2 avril 2015 sur l'accès aux activités de l'assurance et de la réassurance et leur exercice (Solvabilité II).</strong></p> </li>
</ul>",31ffa3_2ec6ba3ffb034a748354c97b9da92a5b~mv2.jpg,Juridique,,31488 Fcfa,48.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_7169320d-6637-4eff-ce48-24f7b974f620,Product,Droit des assurances (Hubert Groutel),"<p><strong>Edition</strong> :&nbsp;09/18 - 14e édition</p>
<p><strong>Auteur(s)</strong> :&nbsp;Hubert Groutel</p>
<p>&nbsp;</p>
<p><strong>Présentation</strong></p>
<ul> 
 <li> <p>Cette nouvelle édition propose&nbsp;<strong>une vue d'ensemble de l'assurance</strong>&nbsp;telle qu'elle est pratiquée en France, sous l'influence toujours grandissante du droit européen.&nbsp;<br> L'ouvrage&nbsp;aborde en premier lieu,<strong>&nbsp;l'opération d'assurance</strong>, puis&nbsp;<strong>l'activité d'assurance</strong>, ou les&nbsp;<strong>règles de la profession,</strong>&nbsp;enfin,&nbsp;<strong>la relation d'assurance</strong>, qui&nbsp;permet de voir le contrat, la survenue du sinistre couvert et le contentieux éventuel.&nbsp;<br> <br> Le droit des assurances est une matière qui s'enseigne couramment dans les facultés et nombre d'autres établissements, notamment ceux qui préparent au BTS assurances. Il est également un droit dont beaucoup de praticiens font un usage quotidien.&nbsp;<br> <br> Ce Mémento,<strong>&nbsp;utile aux étudiants pour rassembler rapidement des connaissances acquises</strong>, apporte les éléments nécessaires à une initiation des personnes qui rentrent dans le secteur de l'assurance.&nbsp;</p> </li>
</ul>",31ffa3_cbe7f085d953417d835a65fdd4c6954b~mv2.jpg,Juridique,,12136 Fcfa,18.5,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_96b48ba3-243b-c937-3b14-49bf2c77117e,Product,Droits maritimes 2015/2016,"<p><strong>Edition</strong> :&nbsp;10/14 - 3e édition</p>
<p><strong>Auteur(s)</strong> :&nbsp;Jean-Pierre Beurier,&nbsp;Patrick Chaumette,&nbsp;Philippe Hesse,&nbsp;Marc Joyau,&nbsp;François Mandin,&nbsp;Arnaud Montas,&nbsp;Martin Ndende,&nbsp;Gwenaëlle Proutiere-Maulion,&nbsp;Robert Rezenthel</p>
<p>&nbsp;</p>
<p><strong>Présentation</strong></p>
<ul> 
 <li> <p><strong>Une synthèse de l'ensemble des disciplines du droit de la mer dans une approche transversale</strong>&nbsp;qui correspond à la pluridisciplinarité du monde océanique tout à la fois milieu physique, producteur de ressources et vecteur du commerce, dont l'exploitation suppose un important corps de règles internationales, communautaires et nationales.&nbsp;<br> <br> L'océan étant un espace à polyrégimes et à pluriactivités, les auteurs répondent à un ensemble de questions issues de cette nature juridique hybride.&nbsp;<br> <strong>Riche en références bibliographiques et en jurisprudence,</strong>&nbsp;cette nouvelle édition assure un&nbsp;<strong>accès direct à l'information</strong>, permet une compréhension rapide de phénomènes complexes, et comporte un&nbsp;<strong>nouveau volet sur le droit de la plaisance</strong></p> </li>
</ul>",31ffa3_422b17960f0b4833a7953ea6f7606381~mv2.jpg,Juridique,,73472 Fcfa,112.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_45f65b60-8a88-4012-3156-406876ac5874,Product,Droit maritime,"<p><strong>Edition </strong>:&nbsp;06/14 - 1e édition</p>
<p><strong>Auteur(s)</strong> :&nbsp;Philippe Delebecque</p>
<p>&nbsp;</p>
<p><strong>Présentation</strong></p>
<ul> 
 <li> <p><strong>Le Précis de droit maritime traite de l'ensemble du droit maritime</strong>&nbsp;: statut du navire, statut des gens de mer, statut de l'armateur, exploitation du navire : affrètement, transport et contrats d'intermédiaires, sans oublier les assurances liées à cette exploitation.</p> &nbsp; <p>Il traite aussi&nbsp;<strong>des principaux contrats sur le navire</strong>&nbsp;: vente, construction, classification ... et développe les questions de responsabilité liées aux abordages, à la pollution.</p> &nbsp; <p>La matière étant par essence internationale, le Précis de droit maritime expose&nbsp;<strong>les principales conventions applicables et développe l'abondante jursiprudence</strong>&nbsp;qu'elles suscitent.</p> &nbsp; <p>Depuis la précédente édition,&nbsp;<strong>de nombreuses évolutions se sont produites contenues notamment dans le code des transports</strong>&nbsp;: sur la copropriété des navires, sur la limitation de responsabilité de l'armateur, sur le transport de marchandises comme de passagers ...&nbsp;<br> Toutes ces évolutions sont prises en considération et mises en perspective avec le particularisme de la matière.</p> </li>
</ul>",31ffa3_ef73a305bbec4ee58f5ae89c3d6c2e30~mv2.jpg,Juridique,,28864 Fcfa,44.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
